name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,16,44400,81400,56,3
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350,14,51600,89800,88,5
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,14,46000,83600,57,26
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,20,39800,71500,61,16
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,3,50300,90000,67,6
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260,18,49700,85900,62,2
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155,7,52100,99300,44,23
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752,10,40900,69500,67,19
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252,5,51600,91300,NA,0
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256,15,48400,89900,52,15
Amberton University,Texas,TX,Private,4 Year,NA,12840,12840,12840,12840,24,52800,93600,57,0
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166,10,63800,116500,45,32
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,24,35700,65900,NA,0
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366,21,47600,85000,51,7
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,5,42600,76600,NA,7
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,13,45000,76900,54,7
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251,16,46600,81500,60,10
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,20,39400,70800,59,4
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,15,45000,78800,51,9
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,1,54400,104500,51,31
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,13,45000,79600,61,12
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080,12,50500,91000,52,11
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,13,47000,84400,69,10
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,20,44200,78200,63,10
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,17,45900,81200,68,3
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,4,72000,133800,37,0
