Subject code,Treatment,Gender,Age,Type of NGO,Donation (level),donation_binary,Recycling,Valence arrival,Valence induction,Arousal arrival,Arousal induction,nep_high
201712061252_j_10,NATURE (T2),0,18,1,3,1,0,64,79,46,61,0
201712061252_j_7,NATURE (T2),1,18,1,7,1,1,36,93,88,33,0
201712181255_j_13,NATURE (T2),0,18,1,3,1,1,86,89,72,67,1
201712060952_j_11,NATURE (T2),1,18,1,4,1,1,82,91,100,100,1
201712060952_j_17,NATURE (T2),1,19,1,3,1,1,78,75,82,61,0
201712060952_j_15,NATURE (T2),1,19,1,5,1,0,75,54,50,50,0
201712061252_j_8,NATURE (T2),0,19,1,2,1,0,71,92,45,15,0
201712181255_j_6,NATURE (T2),1,19,1,3,1,0,69,93,78,100,0
201712181255_j_5,NATURE (T2),1,19,1,5,1,0,46,82,62,82,1
201712181255_j_1,NATURE (T2),1,19,1,0,0,1,50,70,50,50,0
201712060952_j_6,NATURE (T2),0,19,1,5,1,1,84,89,81,88,1
201712181255_j_11,NATURE (T2),1,19,1,0,0,0,78,80,44,65,1
201712061252_j_11,NATURE (T2),0,20,1,3,1,0,59,40,72,40,0
201712061252_j_3,NATURE (T2),0,20,1,4,1,1,63,100,71,100,1
201712060952_j_16,NATURE (T2),0,20,1,4,1,1,71,82,40,77,0
201712060952_j_7,NATURE (T2),1,20,1,0,0,0,100,100,26,27,0
201712181255_j_4,NATURE (T2),1,20,1,5,1,1,39,50,23,15,0
201712181255_j_16,NATURE (T2),0,20,1,4,1,1,60,58,61,69,1
201712060952_j_19,NATURE (T2),1,21,1,6,1,0,63,58,50,50,0
201712060952_j_3,NATURE (T2),0,21,1,3,1,1,70,73,71,72,0
201712060952_j_2,NATURE (T2),0,21,1,5,1,1,100,92,82,80,1
201712061252_j_16,NATURE (T2),1,21,1,0,0,1,83,95,9,51,1
201712181255_j_17,NATURE (T2),0,21,1,5,1,1,78,38,72,67,1
201712061252_j_9,NATURE (T2),0,21,1,5,1,1,73,71,74,53,0
201712060952_j_8,NATURE (T2),0,21,1,7,1,1,65,72,77,76,1
201712060952_j_0,NATURE (T2),0,21,1,0,0,1,48,60,48,60,1
201712061252_j_14,NATURE (T2),0,21,1,0,0,0,66,66,65,58,1
201712181255_j_8,NATURE (T2),1,21,1,3,1,1,87,100,27,56,1
201712060952_j_13,NATURE (T2),0,22,1,3,1,1,79,83,27,63,1
201712061252_j_15,NATURE (T2),0,22,1,1,1,0,79,100,27,27,1
201712061252_j_5,NATURE (T2),0,22,1,3,1,1,97,72,100,13,1
201712181255_j_18,NATURE (T2),1,23,1,0,0,1,52,70,53,70,1
201712181255_j_19,NATURE (T2),1,23,1,5,1,0,100,100,93,100,0
201712181255_j_15,NATURE (T2),0,23,1,6,1,0,66,69,56,66,0
201712060952_j_10,NATURE (T2),1,23,1,6,1,1,89,53,65,45,0
